year,state,region_type,region,crop_category,total_area_grown_ha,irrigated_area_ha,water_applied_ml,water_intensity_ml_per_ha,agricultural_businesses_estimate,source,notes,region_key,water_source,awd_ml_per_share,carry_over_ml_per_share,cumulative_allocation_ml_per_share,total_balance_ml_per_share,storage_value
2019-20,nsw,nrm,northern tablelands,vegetables,333.09,309.11,2059.72,6.663,4.52,ABS Water Use on Australian Farms 2019-20,,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2019-20,nsw,nrm,northern tablelands,grapes & vineyards,42.64,12.18,12.18,1.0,1.22,ABS Water Use on Australian Farms 2019-20,,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2019-20,nsw,nrm,northern tablelands,fruit & nuts,341.68,268.77,353.33,1.315,7.31,ABS Water Use on Australian Farms 2019-20,,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2019-20,nsw,nrm,northern tablelands,cotton,311.51,103.84,519.18,5.0,1.3,ABS Water Use on Australian Farms 2019-20,,northern_tablelands,gwydir,0.0,0.86,0.0,0.86,0
2019-20,nsw,nrm,riverina,grains & oilseeds,1109328.51,37448.99,103295.31,2.758,140.27,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2019-20,nsw,nrm,riverina,vegetables,2642.13,1642.47,7566.72,4.607,28.33,ABS Water Use on Australian Farms 2019-20,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2019-20,nsw,nrm,riverina,grapes & vineyards,17045.17,14445.27,61887.21,4.284,217.57,ABS Water Use on Australian Farms 2019-20,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2019-20,nsw,nrm,riverina,fruit & nuts,17128.32,16135.64,98474.53,6.103,367.17,ABS Water Use on Australian Farms 2019-20,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2019-20,nsw,nrm,riverina,cotton,12454.05,12454.05,128516.05,10.319,40.12,ABS Water Use on Australian Farms 2019-20,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2019-20,nsw,nrm,riverina,rice,3579.65,3579.65,46244.4,12.919,69.52,ABS Water Use on Australian Farms 2019-20,,riverina,murrumbidgee,0.05,0.15,0.27,0.42,0
2019-20,nsw,nrm,south east nsw,vegetables,179.41,167.62,1127.03,6.724,40.27,ABS Water Use on Australian Farms 2019-20,,south_east_nsw,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,south east nsw,grapes & vineyards,852.34,771.93,3015.71,3.907,53.07,ABS Water Use on Australian Farms 2019-20,,south_east_nsw,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,south east nsw,fruit & nuts,289.14,128.36,346.67,2.701,27.61,ABS Water Use on Australian Farms 2019-20,,south_east_nsw,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,south east nsw,rice,118.91,118.91,1426.92,12.0,2.97,ABS Water Use on Australian Farms 2019-20,,south_east_nsw,murray,0.03,0.24,0.15,0.39,0
2019-20,nsw,nrm,western,grains & oilseeds,186686.13,2094.6,9322.7,4.451,2.0,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included,western,lower_darling,0.3,0.02,0.3,0.32,0
2019-20,nsw,nrm,western,vegetables,602.89,602.89,5506.31,9.133,24.97,ABS Water Use on Australian Farms 2019-20,,western,lower_darling,0.3,0.02,0.3,0.32,0
2019-20,nsw,nrm,western,grapes & vineyards,7781.82,7711.79,59166.45,7.672,145.48,ABS Water Use on Australian Farms 2019-20,,western,lower_darling,0.3,0.02,0.3,0.32,0
2019-20,nsw,nrm,western,fruit & nuts,7132.69,7019.69,58141.62,8.283,71.78,ABS Water Use on Australian Farms 2019-20,,western,lower_darling,0.3,0.02,0.3,0.32,0
2019-20,nsw,nrm,western,cotton,845.0,845.0,9970.7,11.8,2.0,ABS Water Use on Australian Farms 2019-20,,western,lower_darling,0.3,0.02,0.3,0.32,0
2019-20,nsw,state,new south wales,grains & oilseeds,3402802.4,86271.72,216307.65,2.507,436.8,ABS Water Use on Australian Farms 2019-20,Grains category is cereals excluding rice; oilseeds not separately included,new_south_wales,,,,,,0
2019-20,nsw,state,new south wales,vegetables,10200.19,8066.19,34845.18,4.32,705.82,ABS Water Use on Australian Farms 2019-20,,new_south_wales,,,,,,0
2019-20,nsw,state,new south wales,grapes & vineyards,32191.95,27748.28,134885.79,4.861,658.16,ABS Water Use on Australian Farms 2019-20,,new_south_wales,,,,,,0
2019-20,nsw,state,new south wales,fruit & nuts,50037.47,38380.5,213063.67,5.551,1105.84,ABS Water Use on Australian Farms 2019-20,,new_south_wales,,,,,,0
2019-20,nsw,state,new south wales,cotton,54629.43,39808.41,263721.27,6.625,189.15,ABS Water Use on Australian Farms 2019-20,,new_south_wales,,,,,,0
2019-20,nsw,state,new south wales,rice,4247.1,4247.1,54621.49,12.861,85.58,ABS Water Use on Australian Farms 2019-20,,new_south_wales,,,,,,0
2018-19,nsw,nrm,central tablelands,pasture & livestock feed,1276076.33,2399.86,8205.58,3.419,65.04,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2018-19,nsw,nrm,central tablelands,grapes & vineyards,2599.34,2429.17,3101.93,1.277,69.99,ABS Water Use on Australian Farms 2018-19,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2018-19,nsw,nrm,central tablelands,fruit & nuts,1009.64,539.38,2704.15,5.013,50.98,ABS Water Use on Australian Farms 2018-19,,central_tablelands,lachlan,0.04,0.59,0.04,0.63,0
2018-19,nsw,nrm,central west,pasture & livestock feed,4545365.06,15267.36,32618.9,2.137,118.31,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories,central_west,macquarie,0.0,0.4,0.0,0.4,0
2018-19,nsw,nrm,central west,grapes & vineyards,144.79,14.79,115.25,7.792,2.47,ABS Water Use on Australian Farms 2018-19,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2018-19,nsw,nrm,central west,fruit & nuts,340.14,39.44,76.42,1.938,3.7,ABS Water Use on Australian Farms 2018-19,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2018-19,nsw,nrm,central west,cotton,,25921.95,239292.95,9.231,85.61,ABS Water Use on Australian Farms 2018-19,,central_west,macquarie,0.0,0.4,0.0,0.4,0
2018-19,nsw,nrm,greater sydney,pasture & livestock feed,24187.23,974.5,2443.87,2.508,31.91,ABS Water Use on Australian Farms 2018-19,Combined grazing/fed-off + hay/silage ABS categories,greater_sydney,murray,0.03,0.24,0.15,0.39,0
